OID_CD119_20|GEOID_CD119_20|NAMELSAD_CD119_20|AREALAND_CD119_20|AREAWATER_CD119_20|MTFCC_CD119_20|FUNCSTAT_CD119_20|OID_AIANNH_20|GEOID_AIANNH_20|NAMELSAD_AIANNH_20|AREALAND_AIANNH_20|AREAWATER_AIANNH_20|MTFCC_AIANNH_20|CLASSFP_AIANNH_20|FUNCSTAT_AIANNH_20|AREALAND_PART|AREAWATER_PART
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045769577|6800|Kokhanok ANVSA|54328808|292043|G2130|E1|S|54328808|292043
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104052|6810|Kongiganak ANVSA|34360876|286476|G2130|E1|S|34360876|286476
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519064048024|6815|Kotlik ANVSA|7754326|1310529|G2130|E1|S|7754326|1310529
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051352991|6820|Kotzebue ANVSA|64121147|4521848|G2130|E1|S|64121147|4521848
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519051328858|6825|Koyuk ANVSA|13213442|0|G2130|E1|S|13213442|0
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|25190758886991|6830|Koyukuk ANVSA|14859766|290257|G2130|E1|S|14859766|290257
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104053|6835|Kwethluk ANVSA|26353432|4262239|G2130|E1|S|26353432|4262239
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104054|6840|Kwigillingok ANVSA|61624060|90404|G2130|E1|S|61624060|90404
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045104055|6845|Kwinhagak ANVSA|10619794|1517831|G2130|E1|S|10619794|1517831
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|251903716903318|6850|Lake Minchumina ANVSA|9899310|1093732|G2130|E1|S|9899310|1093732
2119035963374560|0200|Congressional District (at Large)|1478941109938|245380162784|G5200|N|2519045754882|6855|Larsen Bay ANVSA|10444884|5890617|G2130|E1|S|10444884|5890617
